City,State,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born,Average Household Size,State Code,American Indian and Alaska Native,Asian,Black or African-American,Hispanic or Latino,White
Silver Spring,Maryland,33.8,40601.0,41862.0,82463,1562.0,30908.0,2.6,MD,1084,8841,21330,25924,37756
Quincy,Massachusetts,41.0,44129.0,49500.0,93629,4147.0,32935.0,2.39,MA,351,30473,3917,2566,58723
Hoover,Alabama,38.5,38040.0,46799.0,84839,4819.0,8229.0,2.58,AL,0,4759,18191,3430,61869
Rancho Cucamonga,California,34.5,88127.0,87105.0,175232,5821.0,33878.0,3.18,CA,2789,24519,24437,65823,111832
Newark,New Jersey,34.6,138040.0,143873.0,281913,5829.0,86253.0,2.73,NJ,2268,7349,144961,100432,76402
Peoria,Illinois,33.1,56229.0,62432.0,118661,6634.0,7517.0,2.4,IL,1343,6989,36333,6874,77074
Avondale,Arizona,29.1,38712.0,41971.0,80683,4815.0,8355.0,3.18,AZ,613,2828,11592,34716,62176
West Covina,California,39.8,51629.0,56860.0,108489,3800.0,37038.0,3.56,CA,518,32716,3693,58907,48046
O'Fallon,Missouri,36.0,41762.0,43270.0,85032,5783.0,3269.0,2.77,MO,685,3447,5136,2583,77049
High Point,North Carolina,35.5,51751.0,58077.0,109828,5204.0,16315.0,2.65,NC,1181,11060,39369,11446,58004
Folsom,California,40.9,41051.0,35317.0,76368,4187.0,13234.0,2.62,CA,998,15569,3985,5822,57435
Philadelphia,Pennsylvania,34.1,741270.0,826172.0,1567442,61995.0,205339.0,2.61,PA,17500,122721,691186,219038,688130
Wichita,Kansas,34.6,192354.0,197601.0,389955,23978.0,40270.0,2.56,KS,8791,25210,52592,65162,305910
Fort Myers,Florida,37.3,36850.0,37165.0,74015,4312.0,15365.0,2.45,FL,0,3519,17298,17866,50169
Pittsburgh,Pennsylvania,32.9,149690.0,154695.0,304385,17728.0,28187.0,2.13,PA,2689,21227,82248,9266,208863
Laredo,Texas,28.8,124305.0,131484.0,255789,4921.0,68427.0,3.66,TX,1253,1963,832,243190,246442
Berkeley,California,32.5,60142.0,60829.0,120971,3736.0,25000.0,2.35,CA,1868,27089,11255,15429,82949
